,tweet_id,username,name,replies,retweets,likes,posted_time,content
737,1677166210239135749,TheSwiftSociety,The Swift Society,32,1885,9283,2023-07-07 04:02:39+00:00,"| 
@TaylorSwift13
 for ""Speak Now TV"""
738,1676942912888913921,timesofindia,The Times Of India,1,3,12,2023-07-06 13:15:21+00:00,5 lakh #Chhattisgarh govt employees to go on strike over 5-point demand during PM #NarendraModi's visit on Friday
739,1677122875730558976,PopCrave,Pop Crave,509,5474,59028,2023-07-07 01:10:27+00:00,Olivia Rodrigo is the first Filipina in history to cover Vogue US. 
740,1676981514494521345,pricesandvices,tom,17,3427,25784,2023-07-06 15:48:44+00:00,"Picture to Burn 
(Homophobic Version) 

Better than Revenge 
(Misogynistic Version)
#SpeakNowTaylorsVersion"
741,1676895703417896960,aajtak,AajTak,6,1,53,2023-07-06 10:07:45+00:00,"24 साल बड़ी एक्ट्रेस संग रोमांस करना चाहता है एक्टर अंगद बेदी, बोले- ""लव स्टोरी...""

#ATDigital #NinaGupta #Bollywood #AngadBedi"
742,1677195402712346624,taylornation13,Taylor Nation,476,2049,15444,2023-07-07 05:58:39+00:00,"We’ll always remember the look on our face, lit through the darkness at 1:58, when we finished listening to #SpeakNowTaylorsVersion for the first time with all of you. 

Lucky for us, this won’t be our last partay! Keep streaming at"
743,1677126544224030721,BIGHIT_MUSIC,BIGHIT MUSIC,52,2333,13408,2023-07-07 01:25:02+00:00,"[기사] #투모로우바이투게더, 오늘(7일) 조나스 브라더스 협업곡 'Do It Like That' 발표
https://n.news.naver.com/entertain/article/416/0000296847…"
744,1676634957467516928,timesofindia,The Times Of India,3,1,18,2023-07-05 16:51:38+00:00,"15 more killed in different incidents of lightning strikes in #Bihar, total 24 killed in last 36 hours 

With this, the total number of lightning related deaths in the state rose to 24 in the last 36 hours."
745,1677183629804593152,blessedswifty,Taylor Swift Facts,34,1291,8622,2023-07-07 05:11:52+00:00,i think we can ALL agree 
746,1677169815516254208,PopBase,Pop Base,187,3642,29529,2023-07-07 04:16:58+00:00,Taylor Swift looks enchanting in new photo. 
747,1676794051972980737,aajtak,AajTak,2,2,52,2023-07-06 03:23:49+00:00,"बिहार में होगा महाराष्ट्र जैसा घमासान!  

#Bihar"
748,1677226821719556097,Tesla_Asia,Tesla Asia,7,37,282,2023-07-07 08:03:30+00:00,"Thank you! 감사합니다! 
Safety is enhanced when Tesla Autopilot and Automatic Emergency Breaking (AEB) are engaged."
749,1676971711739338753,97SARCHIVES,𓂋,206,17240,43797,2023-07-06 15:09:47+00:00,JEON JUNGKOOK ARE U KIDDING ME 
750,1676903817923956736,timesofindia,The Times Of India,2,2,15,2023-07-06 10:40:00+00:00,"Woman, 3 kids die as truck hits car stopped to change flat tyre on NH8 

Three children and a woman were crushed to death by a mini-truck that rammed their car after the family stopped on the Delhi-Gurgaon Expressway.

http://toi.in/jU3WXZ/a24gk"
751,1676897963392524288,btschartsdailys,BTS Charts Daily⁷,400,8079,16749,2023-07-06 10:16:44+00:00," #BTS Take Two won the 1st place and TRIPLE CROWN on MCountdown!! 

 #TakeTwo3rdWin"
752,1676946413081485313,natasharoyy,Natasha Roy,349,37697,189760,2023-07-06 13:29:15+00:00,huge night for girls who have never ever moved on from anything
753,1676917684850622464,aajtak,AajTak,0,1,33,2023-07-06 11:35:06+00:00,"इस राज्य में धान खरीद के लिए शुरू हो चुका है रजिस्ट्रेशन, जानें कहां करना होगा आवेदन 
#agriculture #UttarPradesh"
754,1677242755020623872,BT21_,BT21,43,1920,6859,2023-07-07 09:06:49+00:00,"Taken, selected, signed by COOKY
Photocards all for UNISTARS!

#BT21 #COOKY #photocard #photo #release"
755,1676975745175027713,kimgayism,tay (tae)⁷ ᵇʸ ʲᵏ,209,14112,62134,2023-07-06 15:25:49+00:00,back in my days
756,1676645166856409088,timesofindia,The Times Of India,2,3,19,2023-07-05 17:32:12+00:00,"#Congress warns of fallout of Manipur violence in Northeast region 

The two leaders said the situation, as it was building up in #Manipur, could have repercussions on security issues."
757,1677176471885074434,Tslachan,Tsla Chan,37,80,394,2023-07-07 04:43:25+00:00,"$TSLA 
@elonmusk
 
Tesla June (End of Q) Sales 

China: 93,680 units (YoY +8%)

Iceland: 425 units (YoY +341%)

Portugal: 867 units (YoY +449%)

Sweden: 3,034 units (YoY +208%)

Austria: 927 units (YoY +106%)

Finland: 899 units (YoY +370%)

Norway: 3,450 units (YoY… Show more"
